Business name,Normalised business name,Domain,Normalised root domain,Country,Legal or subscriber type,Industry,Contact email,Contact person,Decision-maker role,Phone number,Date researched,Date first contacted,Date follow-up due,Existing website quality,Demo status,GitHub path,GitHub branch or pull request,Public demo URL,Gmail first-draft status,Gmail follow-up status,Outreach status,Delivery status,Reply status,Opt-out status,Suppression reason,Prospect score,Commercial capability,Notes
Arch Services,arch services,https://www.archservices.co.uk/,archservices.co.uk,United Kingdom,Commercial trading entity represented on official website; legal registration not relied upon in this concept,"Commercial drainage, surveys and infrastructure services",info@archservices.co.uk,Commercial drainage team,General business inbox,0800 707 6771,2026-08-05,,Five business days after actual approved send,Working; specific enquiry-qualification opportunity identified,Published on GitHub Pages; public main page and thank-you page verified,prospects/arch-services,Merged PR #8; deployment/verification commit 6bdeda8f6cc08e84b72c87b1beec5390c91199e9,https://mda-growth-systems.github.io/mda-prospect-demos/prospects/arch-services/,Created in connected Gmail; not sent,Created as standalone Re: Gmail draft; not sent; genuine threading pending until original is sent,Exactly 20 Gmail drafts created (10 first-contact + 10 standalone Re: follow-ups); no email sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found,,92,Strong,"No prior MDA contact, demo, GitHub folder or suppression entry found after available checks. Primary opportunity: Commercial drainage survey and emergency scope builder. Gmail profile currently shows Ruan and sending domain .info while outreach identity is Michael / .com; manual identity repair required before scaled sending. Public demo, thank-you page and MDA website verified at 2026-08-05T11:18:42Z."
Event Production Services,event production services,https://epsoxford.com/,epsoxford.com,United Kingdom,Event Production Services is a trading name of EPS Oxford Limited; company number 09017219,"Technical event production, hire, AV installation and venue services",info@epsoxford.com,Production team,General business inbox,01844 278446,2026-08-05,,Five business days after actual approved send,Working; specific enquiry-qualification opportunity identified,Published on GitHub Pages; public main page and thank-you page verified,prospects/eps-oxford,Merged PR #8; deployment/verification commit 6bdeda8f6cc08e84b72c87b1beec5390c91199e9,https://mda-growth-systems.github.io/mda-prospect-demos/prospects/eps-oxford/,Created in connected Gmail; not sent,Created as standalone Re: Gmail draft; not sent; genuine threading pending until original is sent,Exactly 20 Gmail drafts created (10 first-contact + 10 standalone Re: follow-ups); no email sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found,,89,Strong,"No prior MDA contact, demo, GitHub folder or suppression entry found after available checks. Primary opportunity: Event production brief builder separating dry hire, full production and installation. Gmail profile currently shows Ruan and sending domain .info while outreach identity is Michael / .com; manual identity repair required before scaled sending. Public demo, thank-you page and MDA website verified at 2026-08-05T11:18:42Z."
FPF Warehousing,fpf warehousing,https://fpfw.co.uk/,fpfw.co.uk,United Kingdom,FPF Warehousing Limited; company number 10423172,"Warehousing, fulfilment and distribution",sales@fpfw.co.uk,Sales team,Sales inbox,01256 672727,2026-08-05,,Five business days after actual approved send,Working; specific enquiry-qualification opportunity identified,Published on GitHub Pages; public main page and thank-you page verified,prospects/fpf-warehousing,Merged PR #8; deployment/verification commit 6bdeda8f6cc08e84b72c87b1beec5390c91199e9,https://mda-growth-systems.github.io/mda-prospect-demos/prospects/fpf-warehousing/,Created in connected Gmail; not sent,Created as standalone Re: Gmail draft; not sent; genuine threading pending until original is sent,Exactly 20 Gmail drafts created (10 first-contact + 10 standalone Re: follow-ups); no email sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found,,88,Strong,"No prior MDA contact, demo, GitHub folder or suppression entry found after available checks. Primary opportunity: Warehousing quote brief with volumes, handling and distribution needs. Gmail profile currently shows Ruan and sending domain .info while outreach identity is Michael / .com; manual identity repair required before scaled sending. Public demo, thank-you page and MDA website verified at 2026-08-05T11:18:42Z."
Thomas Nagy Ltd,thomas nagy ltd,https://thomasnagy.uk/,thomasnagy.uk,United Kingdom,Thomas Nagy Ltd; company number 10709064,"Commercial, rail and highways electrical contracting",info@thomasnagy.uk,Commercial projects team,General business inbox,020 7060 3873,2026-08-05,,Five business days after actual approved send,Working; specific enquiry-qualification opportunity identified,Published on GitHub Pages; public main page and thank-you page verified,prospects/thomas-nagy,Merged PR #8; deployment/verification commit 6bdeda8f6cc08e84b72c87b1beec5390c91199e9,https://mda-growth-systems.github.io/mda-prospect-demos/prospects/thomas-nagy/,Created in connected Gmail; not sent,Created as standalone Re: Gmail draft; not sent; genuine threading pending until original is sent,Exactly 20 Gmail drafts created (10 first-contact + 10 standalone Re: follow-ups); no email sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found,,90,Strong,"No prior MDA contact, demo, GitHub folder or suppression entry found after available checks. Primary opportunity: Sector-specific electrical project and maintenance intake. Gmail profile currently shows Ruan and sending domain .info while outreach identity is Michael / .com; manual identity repair required before scaled sending. Public demo, thank-you page and MDA website verified at 2026-08-05T11:18:42Z."
Excel Automatic Doors,excel automatic doors,https://www.exceldoors.co.uk/,exceldoors.co.uk,United Kingdom,Established trading business; legal company number not relied upon in this concept,"Automatic doors, shop fronts and roller shutters",info@exceldoors.co.uk,Door projects team,General business inbox,01925 596210,2026-08-05,,Five business days after actual approved send,Working; specific enquiry-qualification opportunity identified,Local build complete; QA and deployment pending,prospects/excel-automatic-doors,Batch 10 main deployment workflow,https://mda-growth-systems.github.io/mda-prospect-demos/prospects/excel-automatic-doors/,Pending public-link gate,Prepared text; standalone Re: draft pending public-link gate,Prepared; not sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found,,89,Strong,"No prior MDA contact, demo, GitHub folder or suppression entry found after available Gmail, GitHub and outreach-log checks. Primary opportunity: Emergency door-fault triage with planned-installation routing."
A2M TEC Ltd,a2m tec ltd,https://www.a2mtec.co.uk/,a2mtec.co.uk,United Kingdom,Private limited company; company number 11661761 shown on official website,"Commercial security, gates, barriers, CCTV and access control",info@a2mtec.co.uk,Security projects team,General business inbox,01473 561131,2026-08-05,,Five business days after actual approved send,Working; specific enquiry-qualification opportunity identified,Local build complete; QA and deployment pending,prospects/a2m-tec,Batch 10 main deployment workflow,https://mda-growth-systems.github.io/mda-prospect-demos/prospects/a2m-tec/,Pending public-link gate,Prepared text; standalone Re: draft pending public-link gate,Prepared; not sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found,,90,Strong,"No prior MDA contact, demo, GitHub folder or suppression entry found after available Gmail, GitHub and outreach-log checks. Primary opportunity: Multi-site security survey and existing-platform qualification."
NICAD,nicad,https://www.nicad.co.uk/,nicad.co.uk,United Kingdom,NICAD Ltd; company number 12686163 shown on official website,"HVAC, facilities maintenance and renewable energy",info@nicad.co.uk,Facilities team,General business inbox,0161 536 4121,2026-08-05,,Five business days after actual approved send,Working; specific enquiry-qualification opportunity identified,Local build complete; QA and deployment pending,prospects/nicad,Batch 10 main deployment workflow,https://mda-growth-systems.github.io/mda-prospect-demos/prospects/nicad/,Pending public-link gate,Prepared text; standalone Re: draft pending public-link gate,Prepared; not sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found,,91,Strong,"No prior MDA contact, demo, GitHub folder or suppression entry found after available Gmail, GitHub and outreach-log checks. Primary opportunity: Facilities priority matrix with operational-impact routing."
Braywhite & Co Ltd,braywhite co ltd,https://www.braywhite.co.uk/,braywhite.co.uk,United Kingdom,Private limited company; company number 01080090 shown on official website,"Commercial HVAC, refrigeration and industrial chillers",info@braywhite.co.uk,HVAC service team,General business inbox,0121 551 6001,2026-08-05,,Five business days after actual approved send,Working; specific enquiry-qualification opportunity identified,Local build complete; QA and deployment pending,prospects/braywhite-hvac,Batch 10 main deployment workflow,https://mda-growth-systems.github.io/mda-prospect-demos/prospects/braywhite-hvac/,Pending public-link gate,Prepared text; standalone Re: draft pending public-link gate,Prepared; not sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found,,93,Strong,"No prior MDA contact, demo, GitHub folder or suppression entry found after available Gmail, GitHub and outreach-log checks. Primary opportunity: Cold-chain and chiller fault triage for faster service decisions."
K Plant Hire Ltd,k plant hire ltd,https://kplanthire.uk.com/,kplanthire.uk.com,United Kingdom,K Plant Ltd is shown on the official website; company number not relied upon in this concept,"Plant, access, tool and welfare equipment hire",hire@kplanthire.uk.com,Hire desk,General hire inbox,01189 775 742,2026-08-05,,Five business days after actual approved send,Working; specific enquiry-qualification opportunity identified,Local build complete; QA and deployment pending,prospects/k-plant-hire,Batch 10 main deployment workflow,https://mda-growth-systems.github.io/mda-prospect-demos/prospects/k-plant-hire/,Pending public-link gate,Prepared text; standalone Re: draft pending public-link gate,Prepared; not sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found,,88,Strong,"No prior MDA contact, demo, GitHub folder or suppression entry found after available Gmail, GitHub and outreach-log checks. Primary opportunity: Dispatch-ready equipment finder with dates and access details."
R S Surveys,r s surveys,https://www.rs-surveys.co.uk/,rs-surveys.co.uk,United Kingdom,Privately owned commercial business; legal company number not relied upon in this concept,"Commercial drainage, CCTV surveys, tankers and planned maintenance",Richard@rssurveysltd.co.uk,Commercial surveys team,Public enquiries address,01564 493 284,2026-08-05,,Five business days after actual approved send,Working; specific enquiry-qualification opportunity identified,Local build complete; QA and deployment pending,prospects/rs-surveys,Batch 10 main deployment workflow,https://mda-growth-systems.github.io/mda-prospect-demos/prospects/rs-surveys/,Pending public-link gate,Prepared text; standalone Re: draft pending public-link gate,Prepared; not sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found,,92,Strong,"No prior MDA contact, demo, GitHub folder or suppression entry found after available Gmail, GitHub and outreach-log checks. Primary opportunity: Commercial drainage scope builder with output and access routing."
Laser Surveys Ltd,laser surveys ltd,https://www.lasersurveys.co.uk/,lasersurveys.co.uk,United Kingdom,Laser Surveys Ltd shown on official website; company number not relied upon in this concept,"Topographical, building, utility, drainage and 3D surveys",worcester@lasersurveys.com,Survey quotations team,Worcestershire office inbox,01886 833173,2026-08-05,,Five business days after actual approved send,Working; specific enquiry-qualification opportunity identified,Local build complete; QA and deployment pending,prospects/laser-surveys,Batch 10 main deployment workflow,https://mda-growth-systems.github.io/mda-prospect-demos/prospects/laser-surveys/,Pending public-link gate,Prepared text; standalone Re: draft pending public-link gate,Prepared; not sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found,,91,Strong,"No prior MDA contact, demo, GitHub folder or suppression entry found after available Gmail, GitHub and outreach-log checks. Primary opportunity: Survey deliverable builder for accurate estimating and scheduling."
Eclipse Event Staging & Production,eclipse event staging production,https://eclipseuk.co.uk/,eclipseuk.co.uk,United Kingdom,Commercial trading business; legal company number not relied upon in this concept,"Event staging, touring sound, lighting and venue installations",info@eclipseuk.co.uk,Production team,General business inbox,01473 527 527,2026-08-05,,Five business days after actual approved send,Working; specific enquiry-qualification opportunity identified,Local build complete; QA and deployment pending,prospects/eclipse-event-production,Batch 10 main deployment workflow,https://mda-growth-systems.github.io/mda-prospect-demos/prospects/eclipse-event-production/,Pending public-link gate,Prepared text; standalone Re: draft pending public-link gate,Prepared; not sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found,,89,Strong,"No prior MDA contact, demo, GitHub folder or suppression entry found after available Gmail, GitHub and outreach-log checks. Primary opportunity: Production-ready event brief separating hire, full production and installs."
Thames Fire,thames fire,https://www.thamesfire.com/,thamesfire.com,United Kingdom,Independent fire-protection business; legal company number not relied upon in this concept,"Fire alarms, extinguishers, emergency lighting and risk assessments",info@thamesfire.com,Fire safety team,General business inbox,0800 955 1005,2026-08-05,,Five business days after actual approved send,Working; specific enquiry-qualification opportunity identified,Local build complete; QA and deployment pending,prospects/thames-fire,Batch 10 main deployment workflow,https://mda-growth-systems.github.io/mda-prospect-demos/prospects/thames-fire/,Pending public-link gate,Prepared text; standalone Re: draft pending public-link gate,Prepared; not sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found,,88,Strong,"No prior MDA contact, demo, GitHub folder or suppression entry found after available Gmail, GitHub and outreach-log checks. Primary opportunity: Fire-compliance planner separating impairments, servicing and assessments."
Guardian Hygiene Services Ltd,guardian hygiene services ltd,https://guardian-group.co.uk/,guardian-group.co.uk,United Kingdom,Guardian Hygiene Services Ltd shown on official website,"Legionella control, water hygiene and compliance services",enquiries@guardian-group.co.uk,Water hygiene advisors,General enquiries inbox,01522 688180,2026-08-05,,Five business days after actual approved send,Working; specific enquiry-qualification opportunity identified,Local build complete; QA and deployment pending,prospects/guardian-hygiene,Batch 10 main deployment workflow,https://mda-growth-systems.github.io/mda-prospect-demos/prospects/guardian-hygiene/,Pending public-link gate,Prepared text; standalone Re: draft pending public-link gate,Prepared; not sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found,,90,Strong,"No prior MDA contact, demo, GitHub folder or suppression entry found after available Gmail, GitHub and outreach-log checks. Primary opportunity: Estate-based water-compliance plan with recurring-service routing."
